"Item #","Item Description",MSP,"Retail Price","Dealer Price","Sale Price","Sale Ends",Quantity,"UPC Code",Manufacturer,"Gun Type","Model Series",Caliber,Action,Capacity,Finish,Stock,Sights,"Barrel Length","Overall Length",Features
SA-FL-22-1,"TPL SMA FALLEN TANTO D2",$119.49,$169.99,$119.49,$105.49,11/30/2024,0,##,,,,,,,,,,,,
SA-MDT-32-1,"TPL SMA MAIDEN TEAL DROP PT D2",$119.49,$169.99,$119.49,$99.99,11/30/2024,9,##,,,,,,,,,,,,
SAS-ABK-12-1,"TPL SMA SENTINEL BLACK DAGGER",$119.49,$169.99,$119.49,$96.49,11/30/2024,9,##,,,,,,,,,,,,
SRB-G200,"BRT ACCU-TAC SR-5 G2 BIPOD BLK",$327.99,$387.00,$327.99,,,3,#858520006237#,Accu-Tac,,"SR-5 G2",,,,"Flat Black",,,,,
GERG2210M1911,"ATA GSG 1911 22LR 5B WOOD 10RD",$277.95,$379.95,$277.95,$272.99,12/31/2025,31,#813393011504#,"American Tactical Inc","Pistol: Semi-Auto",1911,22LR,"Single Action",10+1,Blue,"Wood Grips","Fixed Sights",5,8.5,"Threaded Barrel M9x.75"
GERG2210M1911T,"ATA GSG 1911 22LR 5FD TB 10RD",$277.95,$379.95,$277.95,$269.99,12/31/2025,10,#813393018442#,"American Tactical Inc","Pistol: Semi-Auto",1911,22LR,"Single Action",10+1,FDE,"Wood Grips","Fixed Sights",5,8.5,"Threaded Barrel"
GERG2210M1911S,"ATA GSG 1911 22LR 5 2 TONE 10R",$277.95,$379.95,$277.95,$272.99,12/31/2025,0,#813393013911#,"American Tactical Inc","Pistol: Semi-Auto",1911,22LR,"Single Action",10+1,"2 Tone","Black Grips","Fixed Sights",5,8.5,"Threaded Barrel"
GERG1911ADOP,"ATA GSG 1911AO PST 22LR 5B 10R",$279.95,$389.95,$279.95,$274.99,12/31/2025,11,#813393012600#,"American Tactical Inc","Pistol: Semi-Auto",1911,22LR,"Single Action",10+1,Blue,"Black Plastic Grips","Fixed Sights","5 without Faux Suppressor","12.5 with Faux Suppressor and 8.5 without","Threaded Barrel Metric M9x.75"
GERG2210GSG9CA,"ATA GSG-922 22LR 3.4B 10RD CA",$279.95,$389.95,$279.95,$274.99,12/31/2025,0,#813393016806#,"American Tactical Inc","Pistol: Semi-Auto",GSG-922,22LR,"Single Action",10+1,Blue,"Black Grips","Click Adjustable Target Sight",3.4,7,"Compatible with 1911 Parts"
GERG2210TFF,"ATA GSG FIRFLY 22LR TB 10R BLK",$214.95,$299.95,$214.95,$209.99,12/31/2025,3,#813393019685#,"American Tactical Inc","Pistol: Semi-Auto",Firefly,22LR,"Double Action",10+1,Blue,"Black Grips","Adjustable Rear Sight",4.9,8.2,"Polymer Frame/ Integrated Accessory Rail"
